"","state_Rnls","a_Rnls","b1_Rnls","b2_Rnls","V_A_Rnls","V_B1_Rnls","V_B2_Rnls","C_AB1_Rnls","C_AB2_Rnls","C_B1B2_Rnls","a","b1","b2","tau","R"
"15","Iowa",1.23671426839059,1.96640966887382,-0.0146869555695334,0.0676637426822818,0.0821514817561825,3.24765465319522e-05,-0.0359827780109703,-0.00129295557038463,0.000137016642171918,1.23555499619682,1.96351849687893,-0.0146413859502918,17.013841,0.279425326112831
"16","Kansas",1.47357307826135,2.02116096229247,-0.0302160639601535,0.0135532366232857,0.0937930238023485,6.75458581321627e-05,-0.00216658687541236,-0.000696995623734733,-0.00115936962116661,1.47198811125898,2.0197415540945,-0.0301276752032357,17.110347,0.28575020708874
"17","Kentucky",1.46691645320007,2.16400054329237,-0.032476553866987,0.0200344028120769,0.111573503018232,9.14084883749758e-05,-0.00557617757959391,-0.00097195162232424,-0.00135362904792146,1.46505072981673,2.16238191972606,-0.03237330119174,17.076366,0.292401873957531
"18","Louisiana",1.29402741204698,2.71844843993511,-0.0355441317805656,0.00790548009533611,0.0383195687570507,2.60930576839161e-05,-0.00310869999457699,-0.000320160531864078,-0.000371407342674655,1.29290562511738,2.71744736577921,-0.035490003616268,17.008269,0.309792635284656
"19","Maine",1.34114510013081,2.988184581261,-0.0282905532403047,0.0378239027400675,0.197455731397812,6.65848500394718e-05,-0.00728191839937602,-0.00118670520898057,-0.00158237756470292,1.33853513381589,2.98606517117936,-0.0281993574592496,16.577467,0.343176249379736
"20","Maryland",1.21158063002182,2.65861100165573,-0.0209444851372262,0.0225103559914374,0.12246843568656,2.79492713721361e-05,-0.00457305335366401,-0.000586851335015586,-0.000812340842901137,1.20956954074959,2.65694339183895,-0.0208859957131177,16.706262,0.320436281137997
"21","Massachusetts",1.51285189003011,3.27691974723496,-0.0288603149810752,0.0116033380364063,0.112339848408157,2.60055918929789e-05,-0.00225707794107892,-0.000357206293355652,-0.000857233611220878,1.51138513671792,3.27537976053335,-0.0288113987475525,16.226439,0.375315602004567
"22","Michigan",1.74203909988707,2.74160687803832,-0.0402550483470686,0.0100053615660995,0.0953205040227341,6.28210989162309e-05,-0.00231307943327522,-0.000516994244841445,-0.00116711845038007,1.74068411350229,2.74018209401329,-0.040179446235893,16.642052,0.343636265317721
"23","Minnesota",1.59310693158629,3.78928528471849,-0.0480396696741719,0.00914318037429382,0.218271232261115,7.94267209541609e-05,0.000274194694772279,-0.000479588536155,-0.00235956217306613,1.59177375544485,3.7913878348708,-0.0480152110997275,16.477498,0.382780060865426
"24","Mississippi",1.33606764479043,2.68622362100036,-0.0352434711713992,0.0129507203611866,0.0497407939556125,3.679628564915e-05,-0.00529338601330113,-0.000515318531781384,-0.000422834727642081,1.33468090159576,2.6850085451785,-0.0351763040412975,16.972779,0.311860037558142
