"","state_Rnls","algo_Rnls","a_Rnls","b1_Rnls","b2_Rnls","V_A_Rnls","V_B1_Rnls","V_B2_Rnls","C_AB1_Rnls","C_AB2_Rnls","C_B1B2_Rnls","a","b1","b2","tau","R"
"11","Hawaii","nl2sol",1.33650010094479,3.65857645167768,-0.014444013615399,0.100170189618768,0.169522505791972,1.63405005763546e-05,-0.0470855284172273,-0.00108097723470356,-0.000130139629075875,1.33394883161864,3.65507195534343,-0.0144019236461918,15.526717,0.414777813356468
"12","Idaho","nl2sol",1.73514090598129,1.96018297694929,-0.0194992652184617,0.026978856987708,0.0626193641480787,3.16611830385482e-05,-0.00972968176014358,-0.000762456651628837,-0.000342336589255732,1.73330717709601,1.95853144266216,-0.0194313267246568,16.635683,0.316384285711848
"13","Illinois","nl2sol",1.52176249259302,3.68132210349901,-0.0302443345239891,0.00681763416363095,0.0567880905669985,1.1606899203061e-05,-0.00116369619168729,-0.000193799270147974,-0.00039607454738944,1.52063713819611,3.68022430678266,-0.0302096373534097,15.99908,0.400001098641746
"14","Indiana","nl2sol",1.71261903620749,2.2609198113947,-0.0364302637185469,0.00851216191117901,0.0836844967900712,6.09632371294231e-05,-0.000847933111950205,-0.000495236859948021,-0.00114121222989495,1.71134545735692,2.25960577474619,-0.0363518951503302,16.852781,0.315322068367692
"15","Iowa","gnr",1.3621371984295,2.28667739000556,-0.0124891006566816,0.0926072757135213,0.0912732755742315,2.02871770957791e-05,-0.0547858452914638,-0.00121971421834965,0.00032434758331745,1.36525283932512,2.28738165637385,-0.0125525498894893,16.556378,0.312080185581338
"16","Kansas","nl2sol",1.70841189799616,2.37629115772002,-0.0344842104984385,0.0104797818093796,0.11075069276353,6.27587351145175e-05,-0.000556728041486768,-0.000557664402036492,-0.00137062418821801,1.70699036943129,2.37478801805339,-0.0344049707251982,16.748045,0.324716326497889
"17","Kentucky","gnr",1.61831245652342,2.61663078313509,-0.0298719129033515,0.0242403538430448,0.118369958926846,6.00643381865469e-05,-0.00645502064905727,-0.000889897130553918,-0.00109719278975742,1.61626859561901,2.61493895954476,-0.0297859051716566,16.574085,0.339053746855793
"18","Louisiana","nl2sol",1.52141880735258,2.62308960883829,-0.0344442075150715,0.00835568722851372,0.0403767124868033,2.78727922576987e-05,-0.00317260595242559,-0.000341636062619367,-0.000398738461572942,1.52026062720632,2.62206537928411,-0.0343879954196043,16.795269,0.324699660552294
"19","Maine","nl2sol",1.5050096420257,3.47692333026524,-0.0292551870874363,0.0350665734744089,0.217430137884128,5.35385066478552e-05,-0.00473204990512286,-0.00100489137519471,-0.00161876916447232,1.50245482133612,3.47476016203056,-0.0291753065592462,16.114772,0.387762753956859
"20","Maryland","gnr",1.29624463667795,2.8206259856856,-0.019664912399815,0.0247629591136124,0.123204761837963,2.30720310314502e-05,-0.0050376023440752,-0.000567521249305353,-0.000723730902356619,1.29414239802848,2.81893738483355,-0.0196109073047805,16.454428,0.341392674469812
"21","Massachusetts","nl2sol",1.64316347478167,3.43968755972344,-0.0267994247373417,0.0117567368762687,0.100682884496232,1.93603504397347e-05,-0.00247761262086902,-0.000316743903785544,-0.000679780823915215,1.64169425893154,3.43821944384842,-0.0267562162549591,15.901493,0.400242560437326
"22","Michigan","nl2sol",1.96309180899637,2.90356471128263,-0.0356942721458433,0.0118471680743168,0.1049623285464,4.82266687438315e-05,-0.00248763546840715,-0.000506644617991234,-0.00107862759425787,1.96161525526187,2.90206851239797,-0.0356257793548299,16.196918,0.378307097110606
"23","Minnesota","nl2sol",1.80399246635883,3.78527084192574,-0.0401486751546098,0.0108244079285891,0.212499047651632,5.40436463394217e-05,0.00108382271957841,-0.000467051421923829,-0.00195712445642041,1.80252859674065,3.78320678963553,-0.0400853538629626,15.995786,0.412767504226493
"24","Mississippi","gnr",1.46641829086438,2.62881474759127,-0.0345997057798539,0.0127793202918403,0.0478199871548745,3.60169450628212e-05,-0.0053179520228601,-0.000506922067687536,-0.000402632204262683,1.46505106809667,2.62761038932741,-0.0345331983769887,16.852159,0.320229771236653
"25","Missouri","nl2sol",1.57460436199525,2.07107022415142,-0.0251919528757423,0.0178832803281161,0.0766646069343649,4.48956573973839e-05,-0.00495670079820514,-0.000684057511195407,-0.000708839166283919,1.57286921479905,2.06967323891978,-0.0251150328428099,16.859717,0.303777871284064
"26","Montana","nl2sol",1.65741700814287,2.35959451921792,-0.0286290356816773,0.013377117378174,0.0734789493617676,3.85593171568401e-05,-0.00217148191853313,-0.000543278038541649,-0.000744016415236171,1.65585155979651,2.35831872678657,-0.0285591530811823,16.667576,0.326482285578441
"27","Nebraska","gnr",1.75195038502134,2.76665070416972,-0.0384911297949169,0.00936276596271501,0.165595289189451,6.74555693515128e-05,0.0021753122579682,-0.000516002469158916,-0.00205988752859242,1.75057552742092,2.76484086652411,-0.038414651622194,16.57968,0.348293439116539
"28","Nevada","gnr",1.84169829425574,3.95968269330935,-0.0355909676435391,0.0236031003991037,0.185825488532966,4.57067175570622e-05,-0.00402056048834305,-0.000730688020169393,-0.00139133978015407,1.83960626890472,3.95769237156066,-0.0355206954892485,15.680734,0.434426034184779
"29","New Hampshire","nl2sol",1.50638632704019,2.37902332727083,-0.0196549554240738,0.0334026457757676,0.201342012951518,4.67235927294271e-05,0.00177748689852258,-0.000969521929145817,-0.00159802463759383,1.50381410252961,2.37703378844691,-0.0195769263134126,16.572225,0.327698699559449
"30","New Jersey","nl2sol",1.63876190484091,4.33986459292727,-0.0368268351296176,0.0105167978302573,0.164319034431175,2.82330189523533e-05,-0.001271814321036,-0.000324136891412783,-0.00119702997511674,1.63734571235862,4.33803073330677,-0.0367806137893054,15.719626,0.438839402017158
"31","New Mexico","gnr",1.05506302032695,4.11215197448749,-0.0250133048695807,0.0254781375922246,0.0564996097690096,1.15702205129743e-05,-0.0116453569035219,-0.000436195256781017,-0.00014570600444773,1.05346660560279,4.11045485068739,-0.0249752084581195,15.974895,0.400710836732208
"32","New York","nl2sol",1.50909201208302,3.91154761355693,-0.0301337776680403,0.00755914230622694,0.0484886939194654,9.95312277152622e-06,-0.00279273391651478,-0.000185577261925745,-0.000286923272516164,1.50796335792596,3.91047701394639,-0.0301018653815544,15.85445,0.414028014251151
"33","North Carolina","nl2sol",1.40713254311601,2.69182682216521,-0.0338427757010894,0.00660644324776962,0.0416298214605001,2.24061844439185e-05,-0.00195795788714376,-0.000270781693961285,-0.000410533265489283,1.40605961107808,2.69084765259589,-0.0337930519459989,16.860038,0.320132552308767
"34","North Dakota","gnr",1.8320866349494,3.56065216225868,-0.0695232740451294,0.00578081016262374,0.191005147660015,0.000155960742462,-0.000748278953790255,-0.000473079853456358,-0.00288103186128233,1.83103043346752,3.55868403048863,-0.0694389207677119,16.843819,0.360375216635969
"35","Ohio","nl2sol",1.44327348660564,3.26822476772026,-0.0249581081145646,0.0120726764289876,0.0480522764144679,1.19919752881068e-05,-0.00393236129518859,-0.000289415080822743,-0.000263696073480936,1.44188164504063,3.26707910473832,-0.0249188909320813,16.162506,0.375515041333185
"36","Oklahoma","gnr",1.34477027113311,2.58696388963474,-0.0184883982757543,0.0316871362441453,0.0542223828634714,1.63324985916692e-05,-0.0162113826816484,-0.000597368963205039,-6.72269210826648e-05,1.3434069771801,2.58498072353586,-0.0184469423515505,16.536788,0.329869068378614
"37","Oregon","nl2sol",1.77352915623807,4.1355615796241,-0.0291499730137231,0.0231577676211722,0.162166335795483,2.60682069977528e-05,-0.00576552417141445,-0.000546307854155548,-0.000914782936484232,1.77149221442883,4.13366432699347,-0.0290967472478122,15.374424,0.451706549950577
"38","Pennsylvania","gnr",1.72508218571745,2.78221943832469,-0.02364972255616,0.014628948366959,0.0588406171966339,1.76024149593748e-05,-0.00522132242277565,-0.0003862747387553,-0.000334809705812565,1.72356684217914,2.7809396859005,-0.0236024383718902,16.16574,0.367751221101954
"39","Rhode Island","nl2sol",1.64833807168164,2.78742245631856,-0.0200746923284117,0.0611157446154204,0.172937616094914,4.33980380088826e-05,-0.0262425473090747,-0.00128140793859306,-0.000659790928674276,1.64554843493931,2.78485303199972,-0.0199994886119414,16.121038,0.368124764813862
"40","South Carolina","gnr",1.44262011507369,1.90324245364517,-0.0211714864777788,0.0288506158006452,0.0565414859604992,3.92250727807874e-05,-0.0166129976671536,-0.000858243766573813,-7.84829948990052e-05,1.44126855327159,1.90134994613911,-0.0211095884568341,17.013634,0.28476306504873
"41","South Dakota","gnr",1.90070308004816,3.59973871173961,-0.0755386685583664,0.00588938548255486,0.18448551480651,0.000192856305129783,-0.0013287212934558,-0.000510773784717006,-0.0030099289649479,1.89964328459783,3.59780083983806,-0.0754492999759439,16.868457,0.360981789238405
"42","Tennessee","nl2sol",1.48815530080859,2.33070718037972,-0.0294157002614634,0.0103576592777993,0.0504741355059745,3.04406461788681e-05,-0.00309020088941862,-0.000414821315288647,-0.000488877927742734,1.48683168602904,2.32959113166461,-0.0293544821167932,16.881812,0.308905695251586
"43","Texas","nl2sol",1.37722993661123,2.81655342353622,-0.0227492100676941,0.0052221039304072,0.0171409751548195,5.08707879609604e-06,-0.00181154085518243,-0.000126015105760863,-9.69417697256632e-05,1.37634521772147,2.81582240005435,-0.0227228863334886,16.476121,0.342119231129429
"44","Utah","nl2sol",2.26041536747481,1.98661352851673,-0.0262977492872914,0.0149049011215932,0.134547323759855,6.4217944616153e-05,0.00158185839883121,-0.000724307565970039,-0.00162028000794155,2.25868985644383,1.98498802675901,-0.0262113968299073,16.238195,0.354683978662802
"45","Vermont","nl2sol",1.54962244898081,3.13276462086827,-0.0292387050612954,0.0217466261127096,0.167660217699502,4.54548623549436e-05,-0.00222136233609285,-0.000721131674618875,-0.00132615439234426,1.54759316165026,3.13089314047294,-0.0291671874390448,16.295406,0.368529844259859
"46","Virginia","gnr",1.37620164355027,2.27627626428485,-0.023997881793386,0.00790458348009866,0.0511047654285738,1.86072423665464e-05,-0.0015180651493343,-0.000275144220901377,-0.000459397390654426,1.37500074695183,2.27521710538236,-0.0239513217945188,16.896983,0.302305199623726
"47","Washington","nl2sol",1.76237735502975,3.10179377083705,-0.0243567058481584,0.0188310631387728,0.116756363336372,2.4540438285479e-05,-0.00413443341807757,-0.000495344453436525,-0.000738933209344633,1.76053667315401,3.10017793671904,-0.0243031769519359,15.923642,0.391643381486615
"48","West Virginia","nl2sol",1.39342246044447,2.8547808521451,-0.0210773159067684,0.0309546952749219,0.0547264597721011,1.79654993842674e-05,-0.0164272622854392,-0.000617560177035293,-4.85622124789656e-05,1.39206875116594,2.85282091876115,-0.0210351337005126,16.37103,0.349092290948374
"49","Wisconsin","nl2sol",1.78614935704651,4.20697035221534,-0.0462180405839096,0.00907759398964694,0.173531901224933,4.53409700924393e-05,0.000217076082125176,-0.000391558843238422,-0.00158687407821896,1.78482117926302,4.20884519592377,-0.046193787696266,15.993859,0.426009206265788
"50","Wyoming","nl2sol",1.7425767017788,2.04322739431135,-0.0235156448684678,0.0336339144665357,0.115712137913051,7.00617694858923e-05,-0.00609991050907782,-0.0012466112896218,-0.0010648550292736,1.74015282310292,2.04151296865005,-0.0234143448719983,16.664516,0.318638296789103
