"","a_Rnls","b1_Rnls","b2_Rnls","V_A_Rnls","V_B1_Rnls","V_B2_Rnls","C_AB1_Rnls","C_AB2_Rnls","C_B1B2_Rnls","state_Rnls","algo_Rnls"
"40",1.75195038502134,2.76665070416972,-0.0384911297949169,0.00936276596271501,0.165595289189451,6.74555693515128e-05,0.0021753122579682,-0.000516002469158916,-0.00205988752859242,"Nebraska","gnr"
"41",1.90070308004816,3.59973871173961,-0.0755386685583664,0.00588938548255486,0.18448551480651,0.000192856305129783,-0.0013287212934558,-0.000510773784717006,-0.0030099289649479,"South Dakota","gnr"
"42",1.72508218571745,2.78221943832469,-0.02364972255616,0.014628948366959,0.0588406171966339,1.76024149593748e-05,-0.00522132242277565,-0.0003862747387553,-0.000334809705812565,"Pennsylvania","gnr"
"43",1.50909201208302,3.91154761355693,-0.0301337776680403,0.00755914230622694,0.0484886939194654,9.95312277152622e-06,-0.00279273391651478,-0.000185577261925745,-0.000286923272516164,"New York","nl2sol"
"44",1.64833807168164,2.78742245631856,-0.0200746923284117,0.0611157446154204,0.172937616094914,4.33980380088826e-05,-0.0262425473090747,-0.00128140793859306,-0.000659790928674276,"Rhode Island","nl2sol"
"45",1.57460436199525,2.07107022415142,-0.0251919528757423,0.0178832803281161,0.0766646069343649,4.48956573973839e-05,-0.00495670079820514,-0.000684057511195407,-0.000708839166283919,"Missouri","nl2sol"
"46",1.53775919936039,2.56663214962572,-0.0260678800231305,0.0198762946840275,0.150337503318106,4.75740058691331e-05,-0.0018700158076993,-0.000697808710983079,-0.00134943873494259,"Colorado","nl2sol"
"47",1.3621371984295,2.28667739000556,-0.0124891006566816,0.0926072757135213,0.0912732755742315,2.02871770957791e-05,-0.0547858452914638,-0.00121971421834965,0.00032434758331745,"Iowa","gnr"
"48",1.76237735502975,3.10179377083705,-0.0243567058481584,0.0188310631387728,0.116756363336372,2.4540438285479e-05,-0.00413443341807757,-0.000495344453436525,-0.000738933209344633,"Washington","nl2sol"
"49",1.57442088332018,2.85618519868031,-0.0271488903115704,0.0229145146839189,0.139894128902399,4.84210688908384e-05,-0.00754524871804465,-0.000728652789032916,-0.00104467218006307,"Connecticut","nl2sol"
"50",1.70841189799616,2.37629115772002,-0.0344842104984385,0.0104797818093796,0.11075069276353,6.27587351145175e-05,-0.000556728041486768,-0.000557664402036492,-0.00137062418821801,"Kansas","nl2sol"
