table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),
Geographic Area,Population
".Miami-Dade County, Florida","2,714,854"
".Monroe County, Florida","74,757"
".Nassau County, Florida","85,936"
".Okaloosa County, Florida","206,934"
".Okeechobee County, Florida","41,654"
".Orange County, Florida","1,381,540"
".Osceola County, Florida","368,456"
".Palm Beach County, Florida","1,482,876"
".Pasco County, Florida","539,090"
".Pinellas County, Florida","973,058"
".Polk County, Florida","706,597"
".Putnam County, Florida","74,043"
".St. Johns County, Florida","253,814"
".St. Lucie County, Florida","320,425"
".Santa Rosa County, Florida","179,295"
".Sarasota County, Florida","426,329"
".Seminole County, Florida","468,122"
".Sumter County, Florida","128,719"
".Suwannee County, Florida","44,179"
".Taylor County, Florida","21,545"
".Union County, Florida","15,328"
".Volusia County, Florida","546,101"
".Wakulla County, Florida","32,413"
".Walton County, Florida","70,732"
".Washington County, Florida","24,793"
".Appling County, Georgia","18,526"
".Atkinson County, Georgia","8,262"
".Bacon County, Georgia","11,132"
".Baker County, Georgia","3,086"
".Baldwin County, Georgia","44,893"
".Banks County, Georgia","18,972"
".Barrow County, Georgia","80,834"
".Bartow County, Georgia","106,378"
".Ben Hill County, Georgia","16,822"
".Berrien County, Georgia","19,266"
".Bibb County, Georgia","152,903"
".Bleckley County, Georgia","12,821"
".Brantley County, Georgia","18,985"
".Brooks County, Georgia","15,479"
".Bryan County, Georgia","38,059"
".Bulloch County, Georgia","77,242"
".Burke County, Georgia","22,439"
".Butts County, Georgia","24,192"
".Calhoun County, Georgia","6,353"
".Camden County, Georgia","53,651"
".Candler County, Georgia","10,827"
".Carroll County, Georgia","117,997"
".Catoosa County, Georgia","67,380"
".Charlton County, Georgia","12,919"
".Chatham County, Georgia","289,166"
".Chattahoochee County, Georgia","10,600"
".Chattooga County, Georgia","24,782"
".Cherokee County, Georgia","253,914"
".Clarke County, Georgia","127,268"
".Clay County, Georgia","2,884"
".Clayton County, Georgia","289,197"
".Clinch County, Georgia","6,603"
".Cobb County, Georgia","756,070"
".Coffee County, Georgia","43,055"
".Colquitt County, Georgia","45,455"
".Columbia County, Georgia","154,077"
".Cook County, Georgia","17,171"
".Coweta County, Georgia","145,998"
".Crawford County, Georgia","12,334"
".Crisp County, Georgia","22,617"
".Dade County, Georgia","16,227"
".Dawson County, Georgia","25,127"
".Decatur County, Georgia","26,573"
".DeKalb County, Georgia","754,906"
".Dodge County, Georgia","20,793"
".Dooly County, Georgia","13,709"
".Dougherty County, Georgia","89,200"
".Douglas County, Georgia","145,024"
".Early County, Georgia","10,286"
".Echols County, Georgia","4,000"
".Effingham County, Georgia","62,228"
".Elbert County, Georgia","19,095"
".Emanuel County, Georgia","22,607"
".Evans County, Georgia","10,702"
".Fannin County, Georgia","25,981"
".Fayette County, Georgia","113,181"
".Floyd County, Georgia","97,964"
".Forsyth County, Georgia","236,993"
".Franklin County, Georgia","23,034"
".Fulton County, Georgia","1,050,131"
".Gilmer County, Georgia","30,835"
".Glascock County, Georgia","2,977"
".Glynn County, Georgia","84,975"
".Gordon County, Georgia","57,628"
".Grady County, Georgia","24,774"
".Greene County, Georgia","17,733"
".Gwinnett County, Georgia","927,337"
".Habersham County, Georgia","45,373"
".Hall County, Georgia","201,538"
".Hancock County, Georgia","8,368"
".Haralson County, Georgia","29,561"
".Harris County, Georgia","34,560"
".Hart County, Georgia","26,071"
".Heard County, Georgia","11,871"
".Henry County, Georgia","229,728"
".Houston County, Georgia","155,523"
".Irwin County, Georgia","9,396"
".Jackson County, Georgia","70,325"
".Jasper County, Georgia","14,029"
".Jeff Davis County, Georgia","15,048"
".Jefferson County, Georgia","15,424"
".Jenkins County, Georgia","8,765"
".Johnson County, Georgia","9,706"
".Jones County, Georgia","28,680"
".Lamar County, Georgia","18,961"
".Lanier County, Georgia","10,355"
".Laurens County, Georgia","47,336"
".Lee County, Georgia","29,751"
".Liberty County, Georgia","60,606"
".Lincoln County, Georgia","7,925"
".Long County, Georgia","19,091"
".Lowndes County, Georgia","116,309"
".Lumpkin County, Georgia","32,899"
".McDuffie County, Georgia","21,532"
".McIntosh County, Georgia","14,322"
".Macon County, Georgia","13,160"
".Madison County, Georgia","29,642"
".Marion County, Georgia","8,373"
".Meriwether County, Georgia","21,094"
".Miller County, Georgia","5,684"
".Mitchell County, Georgia","22,135"
".Monroe County, Georgia","27,503"
".Montgomery County, Georgia","9,168"
".Morgan County, Georgia","18,831"
".Murray County, Georgia","39,943"
".Muscogee County, Georgia","194,169"
".Newton County, Georgia","109,421"
".Oconee County, Georgia","39,478"
".Oglethorpe County, Georgia","15,080"
".Paulding County, Georgia","164,053"
".Peach County, Georgia","27,363"
".Pickens County, Georgia","32,014"
".Pierce County, Georgia","19,388"
".Pike County, Georgia","18,647"
".Polk County, Georgia","42,346"
".Pulaski County, Georgia","11,080"
".Putnam County, Georgia","21,820"
".Quitman County, Georgia","2,260"
".Rabun County, Georgia","16,857"
".Randolph County, Georgia","6,812"
".Richmond County, Georgia","201,667"
".Rockdale County, Georgia","90,505"
".Schley County, Georgia","5,230"
".Screven County, Georgia","13,960"
".Seminole County, Georgia","8,270"
".Spalding County, Georgia","66,107"
".Stephens County, Georgia","26,007"
".Stewart County, Georgia","6,435"
".Sumter County, Georgia","29,796"
".Talbot County, Georgia","6,290"
".Taliaferro County, Georgia","1,612"
".Tattnall County, Georgia","25,485"
".Taylor County, Georgia","8,020"
".Telfair County, Georgia","15,974"
".Terrell County, Georgia","8,587"
".Thomas County, Georgia","44,334"
".Tift County, Georgia","40,542"
".Toombs County, Georgia","26,902"
".Towns County, Georgia","11,866"
".Treutlen County, Georgia","6,813"
".Troup County, Georgia","70,078"
".Turner County, Georgia","7,908"
".Twiggs County, Georgia","8,174"
".Union County, Georgia","23,905"
".Upson County, Georgia","26,185"
".Walker County, Georgia","69,443"
".Walton County, Georgia","93,202"
".Ware County, Georgia","35,587"
".Warren County, Georgia","5,247"
".Washington County, Georgia","20,410"
".Wayne County, Georgia","29,810"
".Webster County, Georgia","2,606"
".Wheeler County, Georgia","7,898"
".White County, Georgia","29,988"
".Whitfield County, Georgia","104,249"
".Wilcox County, Georgia","8,827"
".Wilkes County, Georgia","9,864"
".Wilkinson County, Georgia","9,043"
".Worth County, Georgia","20,302"
".Hawaii County, Hawaii","201,509"
".Honolulu County, Hawaii","979,858"
".Kalawao County, Hawaii",86
".Kauai County, Hawaii","72,168"
".Maui County, Hawaii","166,972"
".Ada County, Idaho","468,764"
".Adams County, Idaho","4,234"
".Bannock County, Idaho","86,674"
